Start Date,End Date,Campaign Name,Ad Set Name,Ad Name,Placement,Impressions,Clicks,Amount Spent (USD),Page Likes,Website Actions (All),Video Views,Mobile App Installs
2015-04-20,2015-04-20,Campaign6,Ad set2,pagepost_01,News Feed on Mobile Devices,15906,592,37.06,0,0,0,0
2015-04-19,2015-04-19,Campaign6,Ad set2,pagepost_01,News Feed on Desktop Computers,652,7,0.35,0,0,0,0
2015-04-19,2015-04-19,Campaign6,Ad set2,pagepost_01,News Feed on Mobile Devices,32387,1191,63.77,1,0,0,0
2015-04-17,2015-04-17,Campaign6,Ad set2,pagepost_01,News Feed on Desktop Computers,622,27,1.6,0,0,0,0
2015-04-17,2015-04-17,Campaign6,Ad set2,pagepost_01,News Feed on Mobile Devices,23539,1042,62.52,0,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set2,pagepost_02,News Feed on Desktop Computers,64,3,0.21,0,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set2,pagepost_02,News Feed on Mobile Devices,4711,213,13.32,0,0,0,0
2015-04-23,2015-04-23,Campaign6,Ad set2,pagepost_03,News Feed on Desktop Computers,363,7,0.49,0,0,0,0
2015-04-23,2015-04-23,Campaign6,Ad set2,pagepost_03,News Feed on Mobile Devices,22209,910,60.59,2,0,0,0
2015-04-22,2015-04-22,Campaign6,Ad set2,pagepost_03,News Feed on Mobile Devices,24573,965,66.4,1,0,0,0
2015-04-22,2015-04-22,Campaign6,Ad set2,pagepost_03,News Feed on Desktop Computers,858,18,1.26,0,0,0,0
2015-04-21,2015-04-21,Campaign6,Ad set2,pagepost_03,News Feed on Mobile Devices,22335,906,58.29,1,0,0,0
2015-04-21,2015-04-21,Campaign6,Ad set2,pagepost_03,News Feed on Desktop Computers,1217,38,2.4,0,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set3,pagepost_01,News Feed on Desktop Computers,937,30,1.34,1,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set3,pagepost_01,News Feed on Mobile Devices,14394,777,37.42,1,0,0,0
2015-04-19,2015-04-19,Campaign6,Ad set3,pagepost_01,News Feed on Desktop Computers,2286,56,2.57,0,0,0,0
2015-04-19,2015-04-19,Campaign6,Ad set3,pagepost_01,News Feed on Mobile Devices,23462,1261,61.55,0,0,0,0
2015-04-18,2015-04-18,Campaign6,Ad set3,pagepost_01,News Feed on Desktop Computers,925,18,0.83,0,0,0,0
2015-04-18,2015-04-18,Campaign6,Ad set3,pagepost_01,News Feed on Mobile Devices,22911,1427,63.29,0,0,0,0
2015-04-17,2015-04-17,Campaign6,Ad set3,pagepost_01,News Feed on Desktop Computers,1200,33,1.46,1,0,0,0
2015-04-17,2015-04-17,Campaign6,Ad set3,pagepost_01,News Feed on Mobile Devices,25300,1374,62.66,1,0,0,0
2015-04-23,2015-04-23,Campaign6,Ad set3,pagepost_02,News Feed on Mobile Devices,24893,1006,54.28,1,0,0,0
2015-04-23,2015-04-23,Campaign6,Ad set3,pagepost_02,News Feed on Desktop Computers,1906,43,2.21,1,0,0,0
2015-04-22,2015-04-22,Campaign6,Ad set3,pagepost_02,News Feed on Mobile Devices,28850,1219,60.88,1,0,0,0
2015-04-22,2015-04-22,Campaign6,Ad set3,pagepost_02,News Feed on Desktop Computers,3137,64,3.24,0,0,0,0
2015-04-21,2015-04-21,Campaign6,Ad set3,pagepost_02,News Feed on Mobile Devices,24450,1406,60.71,0,0,0,0
2015-04-21,2015-04-21,Campaign6,Ad set3,pagepost_02,News Feed on Desktop Computers,2280,81,3.41,1,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set3,pagepost_02,News Feed on Desktop Computers,825,33,1.28,0,0,0,0
2015-04-20,2015-04-20,Campaign6,Ad set3,pagepost_02,News Feed on Mobile Devices,11754,591,24.08,0,0,0,0
2015-04-23,2015-04-23,Campaign7,Ad set1,pagepost_01,News Feed on Mobile Devices,37909,1814,95.88,1,0,0,0
2015-04-23,2015-04-23,Campaign7,Ad set1,pagepost_01,News Feed on Desktop Computers,4993,170,10.24,0,0,0,0
2015-04-22,2015-04-22,Campaign7,Ad set1,pagepost_01,News Feed on Mobile Devices,34520,1898,91.56,0,0,0,0
2015-04-22,2015-04-22,Campaign7,Ad set1,pagepost_01,News Feed on Desktop Computers,16240,542,28.63,2,0,0,0
2015-04-20,2015-04-20,Campaign8,Ad set1,pagepost_01,News Feed on Mobile Devices,22234,413,41.76,0,0,0,0
2015-04-20,2015-04-20,Campaign8,Ad set1,pagepost_01,News Feed on Desktop Computers,11534,86,17.67,0,0,0,0
2015-04-19,2015-04-19,Campaign8,Ad set1,pagepost_01,News Feed on Desktop Computers,14988,79,19.46,1,0,0,0
2015-04-19,2015-04-19,Campaign8,Ad set1,pagepost_01,News Feed on Mobile Devices,57260,992,108.95,0,0,0,0
2015-04-18,2015-04-18,Campaign8,Ad set1,pagepost_01,News Feed on Mobile Devices,53730,1048,111.54,3,0,0,0
2015-04-18,2015-04-18,Campaign8,Ad set1,pagepost_01,News Feed on Desktop Computers,10177,77,16.87,1,0,0,0
2015-04-17,2015-04-17,Campaign8,Ad set1,pagepost_01,News Feed on Mobile Devices,43070,938,89.67,1,0,0,0
2015-04-17,2015-04-17,Campaign8,Ad set1,pagepost_01,News Feed on Desktop Computers,24079,145,38.74,1,0,0,0
2015-04-23,2015-04-23,Campaign8,Ad set1,pagepost_02,News Feed on Desktop Computers,23439,317,37.74,1,0,0,0
2015-04-23,2015-04-23,Campaign8,Ad set1,pagepost_02,News Feed on Mobile Devices,41562,1280,77.89,1,0,0,0
2015-04-22,2015-04-22,Campaign8,Ad set1,pagepost_02,News Feed on Desktop Computers,26349,303,38.08,2,0,0,0
2015-04-22,2015-04-22,Campaign8,Ad set1,pagepost_02,News Feed on Mobile Devices,45998,1361,90.33,1,0,0,0
2015-04-21,2015-04-21,Campaign8,Ad set1,pagepost_02,News Feed on Desktop Computers,53060,609,78.92,0,0,0,0
2015-04-21,2015-04-21,Campaign8,Ad set1,pagepost_02,News Feed on Mobile Devices,22978,803,49.49,1,0,0,0
2015-04-20,2015-04-20,Campaign8,Ad set1,pagepost_02,News Feed on Mobile Devices,15822,532,33.74,0,0,0,0
2015-04-20,2015-04-20,Campaign8,Ad set1,pagepost_02,News Feed on Desktop Computers,23563,358,35.24,0,0,0,0
2015-04-23,2015-04-23,Campaign9,Ad set1,pagelike_01,News Feed on Mobile Devices,852,31,10.27,28,0,0,0
2015-04-23,2015-04-23,Campaign9,Ad set1,pagelike_01,News Feed on Desktop Computers,125,3,0.71,1,0,0,0
2015-04-22,2015-04-22,Campaign9,Ad set1,pagelike_01,News Feed on Desktop Computers,25,0,0.08,0,0,0,0
2015-04-22,2015-04-22,Campaign9,Ad set1,pagelike_01,News Feed on Mobile Devices,466,13,4.92,13,0,0,0
2015-04-21,2015-04-21,Campaign9,Ad set1,pagelike_01,News Feed on Desktop Computers,28,0,0.18,0,0,0,0
2015-04-21,2015-04-21,Campaign9,Ad set1,pagelike_01,News Feed on Mobile Devices,336,18,4.82,17,0,0,0
2015-04-20,2015-04-20,Campaign9,Ad set1,pagelike_01,News Feed on Mobile Devices,333,10,4.62,9,0,0,0
2015-04-20,2015-04-20,Campaign9,Ad set1,pagelike_01,News Feed on Desktop Computers,18,1,0.38,0,0,0,0
2015-04-19,2015-04-19,Campaign9,Ad set1,pagelike_01,News Feed on Mobile Devices,284,18,4.97,15,0,0,0
2015-04-19,2015-04-19,Campaign9,Ad set1,pagelike_01,News Feed on Desktop Computers,3,0,0.03,0,0,0,0
2015-04-18,2015-04-18,Campaign9,Ad set1,pagelike_01,News Feed on Mobile Devices,187,9,4.94,9,0,0,0
2015-04-18,2015-04-18,Campaign9,Ad set1,pagelike_01,News Feed on Desktop Computers,6,0,0.06,0,0,0,0
2015-04-17,2015-04-17,Campaign9,Ad set1,pagelike_01,News Feed on Desktop Computers,2,0,0.01,0,0,0,0
2015-04-17,2015-04-17,Campaign9,Ad set1,pagelike_01,News Feed on Mobile Devices,67,4,1.39,4,0,0,0
2015-04-23,2015-04-23,Campaign9,Ad set2,pagelike_01,News Feed on Mobile Devices,816,21,9.71,20,0,0,0
2015-04-23,2015-04-23,Campaign9,Ad set2,pagelike_01,News Feed on Desktop Computers,267,2,1.33,1,0,0,0
2015-04-22,2015-04-22,Campaign9,Ad set2,pagelike_01,News Feed on Mobile Devices,807,27,9.83,19,0,0,0
2015-04-22,2015-04-22,Campaign9,Ad set2,pagelike_01,News Feed on Desktop Computers,28,2,0.17,1,0,0,0
2015-04-21,2015-04-21,Campaign9,Ad set2,pagelike_01,News Feed on Desktop Computers,67,0,0.32,0,0,0,0
2015-04-21,2015-04-21,Campaign9,Ad set2,pagelike_01,News Feed on Mobile Devices,732,35,9.68,30,0,0,0
2015-04-20,2015-04-20,Campaign9,Ad set2,pagelike_01,News Feed on Mobile Devices,657,34,9.3,26,0,0,0
2015-04-20,2015-04-20,Campaign9,Ad set2,pagelike_01,News Feed on Desktop Computers,125,2,0.7,2,0,0,0
2015-04-19,2015-04-19,Campaign9,Ad set2,pagelike_01,News Feed on Desktop Computers,1,0,0,0,0,0,0
